"文字","画数"
"師","10"
"財","10"
"耕","10"
"個","10"
"格","10"
"恩","10"
"桜","10"
"益","10"
"連","10"
"料","10"
"浴","10"
"脈","10"
"粉","10"
"梅","10"
"特","10"
"徒","10"
"帯","10"
"孫","10"
"倉","10"
"席","10"
"笑","10"
"借","10"
"残","10"
"殺","10"
"差","10"
"航","10"
"候","10"
"郡","10"
"訓","10"
"挙","10"
"害","10"
"案","10"
"旅","10"
"流","10"
"勉","10"
"病","10"
"倍","10"
"配","10"
"島","10"
"庭","10"
"速","10"
"息","10"
"真","10"
"消","10"
"酒","10"
"根","10"
"庫","10"
"宮","10"
"起","10"
"荷","10"
"院","10"
"員","10"
"馬","10"
"通","10"
"書","10"
"弱","10"
"時","10"
"紙","10"
"高","10"
"原","10"
"帰","10"
"記","10"
"家","10"
"夏","10"
"校","10"
"胡","9"
"珂","9"
"頁","9"
"迦","9"
"郁","9"
"俄","9"
"胤","9"
"廻","9"
"恢","9"
"按","9"
"衿","9"
"祇","9"
"娃","9"
"恰","9"
"柑","9"
"彦","9"
"臥","9"
"竿","9"
"巷","9"
"卽","9"
"洛","9"
"宥","9"
"柚","9"
"耶","9"
"籾","9"
"俣","9"
"柾","9"
"姥","9"
"毘","9"
"柏","9"
"盃","9"
"祐","9"
"姪","9"
"祢","9"
"殆","9"
"穿","9"
"亮","9"
"玲","9"
"俐","9"
"俠","9"
"者","9"
"突","9"
"祉","9"
"祈","9"
"勉","9"
"侮","9"
"恆","9"
"拜","9"
"珀","9"
"珈","9"
"洵","9"
"洸","9"
"昴","9"
"奎","9"
"勁","9"
"茸","9"
"茜","9"
"柘","9"
"哉","9"
"柊","9"
"洲","9"
"珊","9"
"郎","9"
"厘","9"
"侶","9"
"柳","9"
"幽","9"
"昧","9"
"盆","9"
"勃","9"
"冒","9"
"某","9"
"胞","9"
"柄","9"
"封","9"
"赴","9"
"訃","9"
"眉","9"
"卑","9"
"虹","9"
"栃","9"
"峠","9"
"洞","9"
"逃","9"
"怒","9"
"訂","9"
"帝","9"
"貞","9"
"亭","9"
"珍","9"
"勅","9"
"挑","9"
"胆","9"
"胎","9"
"怠","9"
"耐","9"
"俗","9"
"促","9"
"荘","9"
"窃","9"
"牲","9"
"是","9"
"帥","9"
"甚","9"
"津","9"
"侵","9"
"拭","9"
"浄","9"
"叙","9"
"盾","9"
"俊","9"
"柔","9"
"臭","9"
"狩","9"
"施","9"
"拶","9"
"咲","9"
"柵","9"
"削","9"
"砕","9"
"恨","9"
"拷","9"
"香","9"
"郊","9"
"荒","9"
"洪","9"
"恒","9"
"侯","9"
"枯","9"
"弧","9"
"孤","9"
"契","9"
"狭","9"
"挟","9"
"峡","9"
"糾","9"
"虐","9"
"軌","9"
"冠","9"
"括","9"
"柿","9"
"垣","9"
"皆","9"
"悔","9"
"架","9"
"卸","9"
"怨","9"
"疫","9"
"姻","9"
"咽","9"
"茨","9"
"畏","9"
"為","9"
"威","9"
"哀","9"
"律","9"
"肺","9"
"背","9"
"派","9"
"段","9"
"奏","9"
"染","9"
"洗","9"
"泉","9"
"専","9"
"宣","9"
"城","9"
"姿","9"
"砂","9"
"紅","9"
"皇","9"
"看","9"
"巻","9"
"革","9"
"映","9"
"迷","9"
"保","9"
"独","9"
"退","9"
"則","9"
"祖","9"
"政","9"
"査","9"
"厚","9"
"故","9"
"限","9"
"逆","9"
"要","9"
"勇","9"
"約","9"
"便","9"
"変","9"
"飛","9"
"単","9"
"浅","9"
"省","9"
"信","9"
"祝","9"
"昨","9"
"建","9"
"型","9"
"軍","9"
"紀","9"
"栄","9"
"胃","9"
"洋","9"
"面","9"
"負","9"
"品","9"
"秒","9"
"美","9"
"発","9"
"畑","9"
"度","9"
"追","9"
"柱","9"
"炭","9"
"待","9"
"送","9"
"相","9"
"神","9"
"乗","9"
"昭","9"
"重","9"
"拾","9"
"持","9"
"指","9"
"県","9"
"研","9"
"係","9"
"級","9"
"急","9"
"客","9"
"界","9"
"屋","9"
"風","9"
"南","9"
"点","9"
"昼","9"
"茶","9"
"前","9"
"星","9"
"食","9"
"春","9"
"秋","9"
"首","9"
"室","9"
"思","9"
"後","9"
"計","9"
"活","9"
"海","9"
"科","9"
"草","9"
"音","9"
"函","8"
"侃","8"
"沫","8"
"其","8"
"兒","8"
"孟","8"
"拔","8"
"杵","8"
"枇","8"
"卷","8"
"斧","8"
"苑","8"
"祁","8"
"朋","8"
"茉","8"
"奄","8"
"庚","8"
"肴","8"
"昊","8"
"苺","8"
"茄","8"
"於","8"
"竺","8"
"侑","8"
"或","8"
"迪","8"
"穹","8"
"怜","8"
"杭","8"
"宕","8"
"來","8"
"亞","8"
"昂","8"
"杷","8"
"茅","8"
"些","8"
"陀","8"
"尭","8"
"卑","8"
"忽","8"
"沓","8"
"苔","8"
"爭","8"
"阿","8"
"欣","8"
"坦","8"
"社","8"
"帖","8"
"昏","8"
"拂","8"
"昌","8"
"狀","8"
"枠","8"
"炉","8"
"拉","8"
"弥","8"
"盲","8"
"茂","8"
"免","8"
"岬","8"
"抹","8"
"枕","8"
"奔","8"
"肪","8"
"房","8"
"泡","8"
"抱","8"
"奉","8"
"併","8"
"沸","8"
"侮","8"
"附","8"
"阜","8"
"怖","8"
"苗","8"
"泌","8"
"披","8"
"彼","8"
"迫","8"
"泊","8"
"拍","8"
"杯","8"
"奈","8"
"突","8"
"到","8"
"妬","8"
"迭","8"
"泥","8"
"邸","8"
"抵","8"
"坪","8"
"抽","8"
"拓","8"
"卓","8"
"阻","8"
"狙","8"
"拙","8"
"析","8"
"斉","8"
"征","8"
"姓","8"
"枢","8"
"炊","8"
"沼","8"
"昇","8"
"尚","8"
"叔","8"
"呪","8"
"邪","8"
"侍","8"
"肢","8"
"祉","8"
"刺","8"
"刹","8"
"采","8"
"昆","8"
"肯","8"
"拘","8"
"虎","8"
"股","8"
"弦","8"
"肩","8"
"茎","8"
"屈","8"
"況","8"
"享","8"
"拠","8"
"拒","8"
"宜","8"
"祈","8"
"奇","8"
"玩","8"
"岳","8"
"劾","8"
"拐","8"
"怪","8"
"苛","8"
"佳","8"
"岡","8"
"殴","8"
"欧","8"
"旺","8"
"押","8"
"炎","8"
"依","8"
"宛","8"
"枚","8"
"宝","8"
"並","8"
"拝","8"
"乳","8"
"届","8"
"忠","8"
"宙","8"
"担","8"
"垂","8"
"宗","8"
"若","8"
"刻","8"
"呼","8"
"供","8"
"拡","8"
"沿","8"
"延","8"
"武","8"
"非","8"
"肥","8"
"版","8"
"性","8"
"制","8"
"承","8"
"招","8"
"述","8"
"舎","8"
"枝","8"
"妻","8"
"効","8"
"券","8"
"居","8"
"河","8"
"価","8"
"往","8"
"易","8"
"例","8"
"牧","8"
"法","8"
"府","8"
"念","8"
"毒","8"
"典","8"
"的","8"
"底","8"
"卒","8"
"松","8"
"周","8"
"治","8"
"参","8"
"刷","8"
"固","8"
"径","8"
"協","8"
"泣","8"
"季","8"
"官","8"
"芽","8"
"果","8"
"英","8"
"和","8"
"油","8"
"命","8"
"味","8"
"放","8"
"物","8"
"服","8"
"表","8"
"板","8"
"波","8"
"定","8"
"注","8"
"昔","8"
"所","8"
"受","8"
"取","8"
"者","8"
"実","8"
"事","8"
"始","8"
"使","8"
"幸","8"
"具","8"
"苦","8"
"岸","8"
"泳","8"
"育","8"
"委","8"
"夜","8"
"門","8"
"明","8"
"妹","8"
"歩","8"
"東","8"
"店","8"
"直","8"
"長","8"
"知","8"
"姉","8"
"国","8"
"京","8"
"岩","8"
"林","8"
"青","8"
"空","8"
"金","8"
"学","8"
"雨","8"
"杏","7"
"李","7"
"芥","7"
"灼","7"
"酉","7"
"汲","7"
"伶","7"
"孜","7"
"邑","7"
"杖","7"
"芦","7"
"巫","7"
"辰","7"
"每","7"
"杜","7"
"步","7"
"吞","7"
"坐","7"
"宋","7"
"伽","7"
"亨","7"
"吻","7"
"迂","7"
"芙","7"
"甫","7"
"沌","7"
"庇","7"
"迄","7"
"吾","7"
"灸","7"
"玖","7"
"芭","7"
"佑","7"
"冴","7"
"兎","7"
"佛","7"
"佃","7"
"芹","7"
"宏","7"
"壯","7"
"劫","7"
"辿","7"
"牡","7"
"弄","7"
"呂","7"
"戻","7"
"励","7"
"沃","7"
"抑","7"
"妖","7"
"冶","7"
"妙","7"
"没","7"
"妨","7"
"坊","7"
"邦","7"
"芳","7"
"扶","7"
"肘","7"
"尾","7"
"阪","7"
"伴","7"
"抜","7"
"伯","7"
"把","7"
"忍","7"
"妊","7"
"尿","7"
"那","7"
"廷","7"
"呈","7"
"沈","7"
"沖","7"
"但","7"
"沢","7"
"択","7"
"妥","7"
"汰","7"
"即","7"
"杉","7"
"吹","7"
"辛","7"
"芯","7"
"伸","7"
"肖","7"
"抄","7"
"床","7"
"秀","7"
"寿","7"
"伺","7"
"沙","7"
"佐","7"
"克","7"
"更","7"
"攻","7"
"抗","7"
"坑","7"
"呉","7"
"迎","7"
"串","7"
"吟","7"
"狂","7"
"却","7"
"忌","7"
"岐","7"
"含","7"
"肝","7"
"戒","7"
"壱","7"
"亜","7"
"卵","7"
"乱","7"
"忘","7"
"批","7"
"否","7"
"私","7"
"困","7"
"孝","7"
"系","7"
"我","7"
"快","7"
"余","7"
"防","7"
"判","7"
"状","7"
"条","7"
"序","7"
"似","7"
"志","7"
"災","7"
"均","7"
"技","7"
"応","7"
"労","7"
"冷","7"
"良","7"
"利","7"
"別","7"
"兵","7"
"努","7"
"低","7"
"束","7"
"折","7"
"臣","7"
"初","7"
"児","7"
"材","7"
"告","7"
"芸","7"
"求","7"
"希","7"
"完","7"
"改","7"
"囲","7"
"位","7"
"役","7"
"返","7"
"坂","7"
"豆","7"
"投","7"
"対","7"
"身","7"
"助","7"
"住","7"
"決","7"
"君","7"
"局","7"
"究","7"
"医","7"
"里","7"
"来","7"
"麦","7"
"売","7"
"弟","7"
"体","7"
"走","7"
"声","7"
"図","7"
"社","7"
"作","7"
"谷","7"
"言","7"
"形","7"
"近","7"
"汽","7"
"角","7"
"何","7"
"町","7"
"男","7"
"村","7"
"足","7"
"赤","7"
"車","7"
"見","7"
"貝","7"
"花","7"
"曳","6"
"收","6"
"亦","6"
"伊","6"
"凪","6"
"夷","6"
"庄","6"
"伍","6"
"亙","6"
"匡","6"
"旭","6"
"辻","6"
"丞","6"
"托","6"
"圭","6"
"汝","6"
"尖","6"
"汐","6"
"牟","6"
"瓜","6"
"肋","6"
"而","6"
"亘","6"
"弛","6"
"此","6"
"亥","6"
"劣","6"
"吏","6"
"妄","6"
"朴","6"
"忙","6"
"伏","6"
"妃","6"
"汎","6"
"帆","6"
"伐","6"
"肌","6"
"弐","6"
"吐","6"
"壮","6"
"迅","6"
"尽","6"
"匠","6"
"如","6"
"巡","6"
"旬","6"
"充","6"
"舟","6"
"朱","6"
"芝","6"
"旨","6"
"江","6"
"刑","6"
"仰","6"
"叫","6"
"臼","6"
"朽","6"
"吉","6"
"伎","6"
"企","6"
"缶","6"
"汗","6"
"汚","6"
"芋","6"
"扱","6"
"宅","6"
"存","6"
"至","6"
"后","6"
"吸","6"
"机","6"
"危","6"
"灰","6"
"宇","6"
"任","6"
"団","6"
"舌","6"
"在","6"
"再","6"
"件","6"
"仮","6"
"因","6"
"老","6"
"灯","6"
"伝","6"
"兆","6"
"仲","6"
"争","6"
"成","6"
"好","6"
"共","6"
"各","6"
"印","6"
"衣","6"
"列","6"
"両","6"
"羊","6"
"有","6"
"全","6"
"州","6"
"守","6"
"式","6"
"次","6"
"死","6"
"向","6"
"血","6"
"曲","6"
"安","6"
"毎","6"
"米","6"
"肉","6"
"同","6"
"当","6"
"池","6"
"地","6"
"多","6"
"西","6"
"色","6"
"自","6"
"寺","6"
"合","6"
"行","6"
"考","6"
"光","6"
"交","6"
"会","6"
"回","6"
"羽","6"
"名","6"
"百","6"
"年","6"
"虫","6"
"竹","6"
"早","6"
"先","6"
"耳","6"
"字","6"
"糸","6"
"休","6"
"気","6"
"弘","5"
"禾","5"
"汀","5"
"疋","5"
"只","5"
"叶","5"
"凧","5"
"戊","5"
"乎","5"
"仔","5"
"卯","5"
"矛","5"
"丙","5"
"払","5"
"氾","5"
"尼","5"
"丼","5"
"凸","5"
"奴","5"
"旦","5"
"占","5"
"仙","5"
"斥","5"
"尻","5"
"召","5"
"汁","5"
"囚","5"
"𠮟","5"
"込","5"
"甲","5"
"巧","5"
"玄","5"
"巨","5"
"丘","5"
"甘","5"
"且","5"
"瓦","5"
"凹","5"
"幼","5"
"庁","5"
"処","5"
"冊","5"
"穴","5"
"弁","5"
"布","5"
"犯","5"
"示","5"
"句","5"
"旧","5"
"刊","5"
"可","5"
"永","5"
"圧","5"
"令","5"
"民","5"
"未","5"
"末","5"
"包","5"
"辺","5"
"付","5"
"必","5"
"失","5"
"司","5"
"史","5"
"札","5"
"功","5"
"加","5"
"以","5"
"礼","5"
"由","5"
"平","5"
"氷","5"
"皮","5"
"代","5"
"打","5"
"他","5"
"世","5"
"申","5"
"主","5"
"写","5"
"仕","5"
"皿","5"
"号","5"
"去","5"
"央","5"
"用","5"
"北","5"
"母","5"
"半","5"
"冬","5"
"台","5"
"矢","5"
"市","5"
"広","5"
"古","5"
"兄","5"
"外","5"
"立","5"
"目","5"
"本","5"
"白","5"
"田","5"
"石","5"
"生","5"
"正","5"
"出","5"
"四","5"
"左","5"
"玉","5"
"右","5"
"廿","4"
"允","4"
"云","4"
"丑","4"
"巴","4"
"勿","4"
"尤","4"
"壬","4"
"匁","4"
"厄","4"
"乏","4"
"匹","4"
"匂","4"
"屯","4"
"斗","4"
"爪","4"
"弔","4"
"丹","4"
"双","4"
"井","4"
"冗","4"
"升","4"
"孔","4"
"勾","4"
"互","4"
"幻","4"
"斤","4"
"凶","4"
"刈","4"
"介","4"
"牙","4"
"片","4"
"仁","4"
"収","4"
"尺","4"
"仏","4"
"比","4"
"支","4"
"夫","4"
"不","4"
"氏","4"
"欠","4"
"予","4"
"反","4"
"区","4"
"化","4"
"友","4"
"毛","4"
"方","4"
"分","4"
"父","4"
"内","4"
"太","4"
"切","4"
"心","4"
"少","4"
"止","4"
"今","4"
"公","4"
"午","4"
"戸","4"
"元","4"
"牛","4"
"引","4"
"五","4"
"六","4"
"木","4"
"文","4"
"日","4"
"天","4"
"中","4"
"水","4"
"手","4"
"犬","4"
"月","4"
"火","4"
"王","4"
"円","4"
"巳","3"
"已","3"
"之","3"
"勺","3"
"也","3"
"叉","3"
"与","3"
"凡","3"
"刃","3"
"丈","3"
"乞","3"
"巾","3"
"及","3"
"亡","3"
"寸","3"
"己","3"
"干","3"
"久","3"
"士","3"
"万","3"
"才","3"
"工","3"
"弓","3"
"丸","3"
"土","3"
"大","3"
"川","3"
"千","3"
"夕","3"
"上","3"
"小","3"
"女","3"
"子","3"
"山","3"
"三","3"
"口","3"
"下","3"
"乃","2"
"卜","2"
"了","2"
"又","2"
"丁","2"
"刀","2"
"力","2"
"八","2"
"入","2"
"二","2"
"人","2"
"十","2"
"七","2"
"九","2"
"乙","1"
"一","1"
