"文字","画数"
"勳","16"
"輯","16"
"醐","16"
"錄","16"
"蕗","16"
"謁","16"
"縣","16"
"謂","16"
"歷","16"
"憐","16"
"鴨","16"
"錫","16"
"戰","16"
"樽","16"
"燕","16"
"燒","16"
"薗","16"
"橙","16"
"縞","16"
"險","16"
"薙","16"
"橫","16"
"靜","16"
"燈","16"
"黛","16"
"曉","16"
"默","16"
"蹄","16"
"蕾","16"
"諸","16"
"衞","16"
"曆","16"
"龍","16"
"醍","16"
"樫","16"
"賴","16"
"頼","16"
"謡","16"
"擁","16"
"融","16"
"諭","16"
"麺","16"
"磨","16"
"頰","16"
"謀","16"
"膨","16"
"縫","16"
"壁","16"
"避","16"
"繁","16"
"縛","16"
"薄","16"
"濃","16"
"曇","16"
"篤","16"
"賭","16"
"諦","16"
"緻","16"
"壇","16"
"濁","16"
"膳","16"
"薦","16"
"醒","16"
"薪","16"
"錠","16"
"嬢","16"
"壌","16"
"獣","16"
"儒","16"
"諮","16"
"錯","16"
"墾","16"
"衡","16"
"錮","16"
"賢","16"
"憩","16"
"薫","16"
"錦","16"
"凝","16"
"還","16"
"憾","16"
"獲","16"
"骸","16"
"諧","16"
"懐","16"
"壊","16"
"穏","16"
"憶","16"
"緯","16"
"奮","16"
"糖","16"
"操","16"
"縦","16"
"樹","16"
"鋼","16"
"憲","16"
"激","16"
"輸","16"
"燃","16"
"築","16"
"興","16"
"衛","16"
"録","16"
"積","16"
"機","16"
"薬","16"
"整","16"
"橋","16"
"館","16"
"頭","16"
"親","16"
"餌","15"
"廟","15"
"凜","15"
"撫","15"
"槻","15"
"嬉","15"
"遼","15"
"諒","15"
"鋒","15"
"凛","15"
"諄","15"
"熙","15"
"駕","15"
"樂","15"
"魯","15"
"劉","15"
"蝦","15"
"黎","15"
"蕪","15"
"毅","15"
"誼","15"
"篇","15"
"鄭","15"
"蕨","15"
"醉","15"
"賣","15"
"歎","15"
"德","15"
"諏","15"
"蝶","15"
"緖","15"
"廣","15"
"駈","15"
"撞","15"
"髮","15"
"噂","15"
"蕉","15"
"樟","15"
"層","15"
"墨","15"
"糊","15"
"穀","15"
"噌","15"
"節","15"
"練","15"
"醇","15"
"增","15"
"稻","15"
"磐","15"
"緣","15"
"幡","15"
"撒","15"
"價","15"
"儉","15"
"鞍","15"
"彈","15"
"蕃","15"
"瘦","15"
"樣","15"
"撰","15"
"憎","15"
"徵","15"
"蕎","15"
"樋","15"
"劍","15"
"播","15"
"澁","15"
"慧","15"
"霊","15"
"寮","15"
"慮","15"
"璃","15"
"履","15"
"窯","15"
"憂","15"
"黙","15"
"魅","15"
"摩","15"
"撲","15"
"褒","15"
"舗","15"
"餅","15"
"蔽","15"
"弊","15"
"幣","15"
"憤","15"
"墳","15"
"噴","15"
"舞","15"
"賦","15"
"膚","15"
"敷","15"
"賓","15"
"膝","15"
"罷","15"
"盤","15"
"範","15"
"箸","15"
"賠","15"
"輩","15"
"罵","15"
"踏","15"
"撤","15"
"徹","15"
"締","15"
"墜","15"
"澄","15"
"嘲","15"
"駐","15"
"鋳","15"
"誰","15"
"諾","15"
"踪","15"
"槽","15"
"遷","15"
"潜","15"
"請","15"
"穂","15"
"震","15"
"審","15"
"嘱","15"
"縄","15"
"衝","15"
"憧","15"
"遵","15"
"潤","15"
"趣","15"
"賜","15"
"摯","15"
"暫","15"
"撮","15"
"駒","15"
"稿","15"
"撃","15"
"稽","15"
"憬","15"
"慶","15"
"勲","15"
"緊","15"
"窮","15"
"戯","15"
"儀","15"
"輝","15"
"畿","15"
"緩","15"
"監","15"
"歓","15"
"潟","15"
"潰","15"
"餓","15"
"稼","15"
"縁","15"
"閲","15"
"謁","15"
"鋭","15"
"影","15"
"慰","15"
"論","15"
"潮","15"
"誕","15"
"蔵","15"
"諸","15"
"熟","15"
"権","15"
"劇","15"
"遺","15"
"暴","15"
"編","15"
"導","15"
"敵","15"
"質","15"
"賛","15"
"潔","15"
"確","15"
"輪","15"
"養","15"
"標","15"
"熱","15"
"選","15"
"賞","15"
"器","15"
"課","15"
"億","15"
"箱","15"
"調","15"
"談","15"
"横","15"
"線","15"
"遜","14"
"摺","14"
"綾","14"
"瑳","14"
"榊","14"
"竪","14"
"鳳","14"
"漣","14"
"閤","14"
"膏","14"
"爾","14"
"嘗","14"
"裳","14"
"槌","14"
"綴","14"
"鞄","14"
"嶋","14"
"蓬","14"
"緋","14"
"頗","14"
"箕","14"
"厩","14"
"箔","14"
"碧","14"
"輔","14"
"蔦","14"
"肇","14"
"榛","14"
"槙","14"
"賑","14"
"翠","14"
"碩","14"
"銑","14"
"槍","14"
"漕","14"
"綜","14"
"聡","14"
"魁","14"
"暢","14"
"蔓","14"
"福","14"
"賓","14"
"颯","14"
"榎","14"
"禍","14"
"滯","14"
"寬","14"
"嘆","14"
"僞","14"
"遙","14"
"榮","14"
"槇","14"
"實","14"
"綺","14"
"綸","14"
"僧","14"
"嘉","14"
"署","14"
"奬","14"
"齊","14"
"粹","14"
"漢","14"
"窪","14"
"蔣","14"
"綠","14"
"團","14"
"盡","14"
"漱","14"
"寢","14"
"鳶","14"
"摑","14"
